Id,Predicted
114982,351911.9389846674
95653,477502.2503389851
40303,387392.6672201911
109506,318632.55807659344
100149,434032.9052425787
7610,326821.01154453785
61101,307979.57715893665
68167,451605.5423951763
65701,333461.141585793
56039,251021.15166175048
81919,392143.85975237493
99768,430740.4416157675
124053,669368.3233205746
3942,355514.86312117026
118904,486322.5220075408
30060,356566.8277084412
185729,618705.1565525052
46357,734316.7968146985
20662,418826.4816383047
102274,551393.11515919
53369,262472.96765336307
9719,371394.93508337997
20145,339030.5716831555
159051,590234.022062239
31481,278472.93883711763
142247,416142.5164723448
29119,341252.2352418885
151448,476952.2056789736
60594,260762.8547643342
83400,484381.6868468511
40168,270992.5345464312
52407,356526.0042442706
127232,477659.7700383212
131188,428587.35562931333
952,195963.39889343365
166230,457068.8250193718
144844,438888.6940655167
33207,344115.5428470281
28355,807395.5206548678
179918,673484.2868491652
162451,674519.4257350184
19390,245847.73904845916
114861,453575.39299299894
132259,382732.8297901912
180033,794414.912864013
97052,515072.8181993845
94224,390681.9660590852
32295,441046.072099848
171908,633985.4787849768
80236,502173.7240615096
156193,456047.2091689668
54494,334416.4939476062
174530,630934.8249568293
143835,358860.7438515929
26275,408399.306283609
61627,622283.8725501788
49813,352508.15740046813
3466,553672.5014859105
117691,522611.9254024835
132738,543739.7396968268
114211,579000.5988621073
116741,511541.217622074
39246,411417.91108821105
150011,357709.3761933398
182319,593469.7789669861
32441,301561.12858793745
18842,406760.3364908615
99428,370179.8185387685
96435,418050.79318692937
134803,383925.1956054915
171636,619423.080294814
115944,548097.733372676
149001,515459.4475889709
19084,389551.5630642191
178128,719309.1643856207
74818,402104.1545498034
49603,267949.67019560834
86262,722695.9229763504
14520,342648.4620036259
57209,781695.6095055952
148575,606530.1842763473
33,210778.74990604472
180401,609117.571500758
87114,504046.51519777905
16450,381320.9222582178
28848,379508.14140794287
11519,279543.01938114606
7202,280812.6581641339
2843,237442.0571538591
156073,459537.9794472688
132217,444288.9875733051
140349,542307.5649071024
34614,314722.95757092646
135594,430071.3022822478
